task,dataset,seed,fold,projection_count,projected_columns,k,n_features_selected,downstream_model,accuracy,f1,f1_macro,balanced_accuracy,roc_auc,auc
classification,wine,0,3,5,10,5,5,knn,0.9428571428571428,0.9428571428571428,0.9487179487179488,0.9523809523809524,1.0,1.0
classification,wine,0,3,5,10,10,10,lr,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,1.0,1.0
classification,wine,0,3,5,10,10,10,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,5,10,10,10,knn,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,5,10,13,13,lr,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,5,10,13,13,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,5,10,13,13,knn,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,10,20,5,5,lr,0.9714285714285714,0.9714708994708994,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,3,10,20,5,5,svm,0.9142857142857143,0.9120925390399074,0.9168151147098516,0.9285714285714285,1.0,1.0
classification,wine,0,3,10,20,5,5,knn,0.9428571428571428,0.9428571428571428,0.9487179487179488,0.9523809523809524,1.0,1.0
classification,wine,0,3,10,20,10,10,lr,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,1.0,1.0
classification,wine,0,3,10,20,10,10,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,10,20,10,10,knn,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,0.9807692307692308,0.9807692307692308
classification,wine,0,3,10,20,13,13,lr,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,10,20,13,13,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,10,20,13,13,knn,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,20,40,5,5,lr,0.9714285714285714,0.9714708994708994,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,3,20,40,5,5,svm,0.9142857142857143,0.9120925390399074,0.9168151147098516,0.9285714285714285,1.0,1.0
classification,wine,0,3,20,40,5,5,knn,0.9428571428571428,0.9428571428571428,0.9487179487179488,0.9523809523809524,1.0,1.0
classification,wine,0,3,20,40,10,10,lr,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,1.0,1.0
classification,wine,0,3,20,40,10,10,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,20,40,10,10,knn,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,0.9807692307692308,0.9807692307692308
classification,wine,0,3,20,40,13,13,lr,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,20,40,13,13,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,20,40,13,13,knn,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,40,80,5,5,lr,0.9714285714285714,0.9714708994708994,0.974320987654321,0.9761904761904763,1.0,1.0
classification,wine,0,3,40,80,5,5,svm,0.9142857142857143,0.9120925390399074,0.9168151147098516,0.9285714285714285,1.0,1.0
classification,wine,0,3,40,80,5,5,knn,0.9428571428571428,0.9428571428571428,0.9487179487179488,0.9523809523809524,1.0,1.0
classification,wine,0,3,40,80,10,10,lr,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,1.0,1.0
classification,wine,0,3,40,80,10,10,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,40,80,10,10,knn,0.9428571428571428,0.9419826489300174,0.9434817813765183,0.9523809523809524,0.9807692307692308,0.9807692307692308
classification,wine,0,3,40,80,13,13,lr,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,40,80,13,13,svm,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,3,40,80,13,13,knn,0.9714285714285714,0.971651350598719,0.9701104613385314,0.9761904761904763,1.0,1.0
classification,wine,0,4,5,10,5,5,lr,0.9714285714285714,0.9712091288128154,0.9733742959549412,0.9696969696969697,1.0,1.0
classification,wine,0,4,5,10,5,5,svm,0.9714285714285714,0.9716878402903812,0.9709618874773139,0.9777777777777779,1.0,1.0
classification,wine,0,4,5,10,5,5,knn,1.0,1.0,1.0,1.0,1.0,1.0
classification,wine,0,4,5,10,10,10,lr,0.9428571428571428,0.9429287504475474,0.9443609022556391,0.9474747474747475,0.9985714285714287,0.9985714285714287
classification,wine,0,4,5,10,10,10,svm,0.9428571428571428,0.9429287504475474,0.9443609022556391,0.9474747474747475,0.9985714285714287,0.9985714285714287
classification,wine,0,4,5,10,10,10,knn,0.9714285714285714,0.9716878402903812,0.9709618874773139,0.9777777777777779,0.9971428571428571,0.9971428571428571
