task,focus_method,baseline,dataset,n_cells,mean_delta,median_delta,min_delta,max_delta,win_share,nonloss_share
classification,cif,ptest_mc,wine,6,0.0028941798941798935,0.0015396825396826186,-0.0011111111111111738,0.00967195767195761,0.5,0.8333333333333334
classification,cif,ptest_mc,vowel-context,6,0.002626262626262643,0.0,-0.008484848484848428,0.018787878787878798,0.3333333333333333,0.8333333333333334
classification,cif,ptest_mc,page-blocks,6,0.002024854264116934,-4.069175991827656e-06,-0.004088729425320015,0.019483835456144627,0.16666666666666666,0.5
classification,cif,ptest_mc,glass,6,0.0005026455026455415,0.0,-0.0018095238095238164,0.005111111111111288,0.16666666666666666,0.6666666666666666
classification,cif,ptest_mc,ALLAML,15,-0.00308148148148147,-0.0020000000000000018,-0.026222222222222258,0.02400000000000002,0.3333333333333333,0.3333333333333333
classification,cif,ptest_rdc,warpAR10P,15,0.3009777777777778,0.3193333333333334,0.08733333333333315,0.4346666666666667,1.0,1.0
classification,cif,ptest_rdc,Yale,15,0.17694814814814816,0.1875555555555556,0.06888888888888889,0.2413333333333334,1.0,1.0
classification,cif,ptest_rdc,ORL,15,0.17376666666666668,0.19499999999999995,0.08500000000000008,0.25700000000000006,1.0,1.0
classification,cif,ptest_rdc,isolet,15,0.17081529769665363,0.13634463276836156,0.017590178183398586,0.3337857453281181,1.0,1.0
classification,cif,ptest_rdc,pixraw10P,15,0.15706666666666666,0.16999999999999993,0.07399999999999995,0.22799999999999998,1.0,1.0
classification,cif,ptest_rdc,orlraws10P,15,0.12640000000000004,0.14,0.052000000000000046,0.16800000000000004,1.0,1.0
classification,cif,ptest_rdc,spam,12,0.11624175568031643,0.09854078974153185,0.004864774893389434,0.3331924998174435,1.0,1.0
classification,cif,ptest_rdc,arcene,15,0.07888888888888887,0.07050505050505051,0.019671717171717007,0.16866161616161623,1.0,1.0
classification,cif,ptest_rdc,warpPIE10P,15,0.06604,0.04239999999999999,0.011399999999999966,0.14939999999999998,1.0,1.0
classification,cif,ptest_rdc,letter,6,0.05114843830086358,0.02909161063621213,0.006752605940103018,0.12734172058751025,1.0,1.0
classification,cif,ptest_rdc,page-blocks,6,0.03630874704948215,0.017407147830199088,-8.138351983655312e-06,0.09309481077421777,0.5,0.8333333333333334
classification,cif,ptest_rdc,madelon,15,0.031226666666666663,0.031399999999999983,-0.008500000000000063,0.07699999999999996,0.7333333333333333,0.7333333333333333
classification,cif,ptest_rdc,pendigits,6,0.023449441846943215,0.023558791033185145,0.00888470472622227,0.04392096111726429,1.0,1.0
classification,cif,ptest_rdc,gamma,3,0.02162934698620241,0.030187174110618886,0.004505796788020766,0.030195070059967577,1.0,1.0
classification,cif,ptest_rdc,wine,6,0.010401314734648115,0.01057142857142862,0.0036402116402116658,0.01615873015873026,1.0,1.0
classification,cif,ptest_rdc,musk,15,0.009911369385185791,0.002214322930691681,-0.012695263713752736,0.04242062697302085,0.6,0.6
classification,cif,ptest_rdc,glass,6,0.008966269841269858,0.004097222222222252,0.0,0.02963492063492068,0.5,1.0
classification,cif,ptest_rdc,vowel-context,6,0.007845117845117877,0.001515151515151525,0.0,0.02848484848484867,0.5,1.0
classification,cif,ptest_rdc,gisette,15,0.007844444444444468,0.008033333333333337,0.0009333333333335636,0.016966666666666574,1.0,1.0
classification,cif,ptest_rdc,CLL_SUB_111,15,0.003769248035914689,-0.003016835016835029,-0.05991919191919193,0.06676094276094269,0.4,0.4
classification,cif,ptest_rdc,TOX_171,15,-0.0031415343915343953,0.0004761904761905189,-0.06674603174603178,0.029404761904761822,0.5333333333333333,0.5333333333333333
classification,cif,ptest_rdc,ALLAML,15,-0.022740740740740735,-0.016444444444444484,-0.08244444444444454,0.01200000000000001,0.26666666666666666,0.26666666666666666
classification,cif,r_cforest,warpAR10P,15,0.3174666666666666,0.31399999999999995,0.17866666666666653,0.4393333333333333,1.0,1.0
classification,cif,r_cforest,gisette,15,0.23584444444444447,0.23493333333333333,0.11829999999999996,0.32666666666666666,1.0,1.0
classification,cif,r_cforest,ALLAML,15,0.21552592592592595,0.22311111111111115,0.11488888888888871,0.2902222222222224,1.0,1.0
classification,cif,r_cforest,CLL_SUB_111,15,0.15060650953984286,0.17187878787878785,0.059717171717171724,0.2324713804713805,1.0,1.0
classification,cif,r_cforest,Yale,15,0.11774814814814816,0.12222222222222229,0.04933333333333334,0.19377777777777783,1.0,1.0
classification,cif,r_cforest,orlraws10P,15,0.1156,0.1120000000000001,0.06799999999999995,0.16200000000000003,1.0,1.0
classification,cif,r_cforest,TOX_171,15,0.11182671957671957,0.115734126984127,0.032162698412698365,0.18817460317460327,1.0,1.0
classification,cif,r_cforest,warpPIE10P,15,0.09816,0.09060000000000001,0.0043999999999999595,0.20000000000000007,1.0,1.0
classification,cif,r_cforest,arcene,15,0.08485858585858583,0.08431818181818185,0.046060606060606024,0.12810606060606067,1.0,1.0
classification,cif,r_cforest,ORL,15,0.0609,0.05149999999999999,0.018000000000000016,0.11250000000000004,1.0,1.0
classification,cif,r_cforest,pixraw10P,15,0.033733333333333365,0.030000000000000027,-0.006000000000000116,0.09199999999999997,0.8,0.8
classification,cif,r_cforest,isolet,15,0.021756135013762123,0.02240764884832691,-0.10748196436332036,0.14257714037375058,0.6,0.6
classification,cif,r_cforest,musk,15,0.009400259307597685,0.0019071831817889517,-0.004281064664119594,0.04803740151026681,0.6666666666666666,0.6666666666666666
classification,cif,r_cforest,gamma,3,0.006943011924941882,0.007117483720008311,0.004093453118199086,0.009618098936618247,1.0,1.0
classification,cif,r_cforest,wine,6,0.005742504409171086,0.0063915343915343925,-0.003280423280423328,0.01123809523809527,0.8333333333333334,0.8333333333333334
classification,cif,r_cforest,page-blocks,6,0.003812174380547706,0.0,-0.000536810943753796,0.0220584461684612,0.3333333333333333,0.6666666666666666
classification,cif,r_cforest,spam,12,0.002951525831737023,0.001851744402060762,-0.03544724714459513,0.03308372315942898,0.6666666666666666,0.6666666666666666
classification,cif,r_cforest,vowel-context,6,0.0025589225589225753,0.0,-0.011919191919191885,0.017777777777777892,0.3333333333333333,0.8333333333333334
classification,cif,r_cforest,pendigits,6,0.0024146646444573503,0.008617979735921377,-0.040897517360539926,0.0189107526247263,0.8333333333333334,0.8333333333333334
classification,cif,r_cforest,glass,6,-0.0020443121693121866,0.0,-0.009531746031746002,0.0030158730158729163,0.16666666666666666,0.6666666666666666
classification,cif,r_cforest,letter,6,-0.009291839087621804,0.0011971445885387566,-0.060556021706901664,0.00926779773275943,0.6666666666666666,0.6666666666666666
classification,cif,r_cforest,madelon,15,-0.013386666666666651,-0.013199999999999878,-0.06349999999999989,0.023799999999999932,0.2,0.2
classification,cif,r_ctree,ALLAML,15,0.2723851851851852,0.2597777777777778,0.1599999999999998,0.344,1.0,1.0
classification,cif,r_ctree,gisette,15,0.2595816666666667,0.2774,0.12565833333333332,0.3431833333333334,1.0,1.0
classification,cif,r_ctree,madelon,15,0.17326666666666668,0.17710000000000015,0.024699999999999944,0.3421999999999999,1.0,1.0
classification,cif,r_ctree,warpAR10P,15,0.16626666666666665,0.1533333333333332,0.0039999999999998925,0.3959999999999999,1.0,1.0
classification,cif,r_ctree,Yale,15,0.13792592592592592,0.13288888888888895,0.051999999999999935,0.23555555555555546,1.0,1.0
classification,cif,r_ctree,gamma,3,0.13748003720486476,0.12902410594172886,0.11934488851194658,0.16407111716091882,1.0,1.0
classification,cif,r_ctree,TOX_171,15,0.1178743386243386,0.13422619047619055,0.03908730158730156,0.1759722222222222,1.0,1.0
classification,cif,r_ctree,CLL_SUB_111,15,0.11435780022446689,0.11350841750841756,0.01989225589225596,0.21498989898989895,1.0,1.0
