study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_splits,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,dt,1,7,3,4,4,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,dt,2,7,4,3,3,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,dt,3,7,4,3,3,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,dt,4,7,4,3,3,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,rt,0,59,3,56,53,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,rt,1,51,3,48,46,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,rt,2,68,2,66,59,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,rt,3,65,5,60,56,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,55218,rt,4,69,4,65,62,"392,449,474,302,384"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,cit,0,2,2,0,0,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,cit,1,2,2,0,0,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,cit,2,2,2,0,0,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,cit,3,2,2,0,0,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,cit,4,2,2,0,0,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,dt,0,7,3,4,4,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,dt,1,7,3,4,4,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,dt,2,7,3,4,4,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,dt,3,7,3,4,4,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,dt,4,7,3,4,4,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,rt,0,65,2,63,62,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,rt,1,69,3,66,66,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,rt,2,71,0,71,70,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,rt,3,59,3,56,55,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p1000_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,5,0.005,55718,rt,4,62,1,61,61,"686,190,251,768,220"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,cit,0,4,4,0,0,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,cit,1,4,4,0,0,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,cit,2,4,4,0,0,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,cit,3,4,4,0,0,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,cit,4,4,4,0,0,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,dt,0,16,8,8,8,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,dt,1,16,7,9,8,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,dt,2,16,8,8,8,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,dt,3,16,7,9,9,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,dt,4,17,8,9,9,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,rt,0,87,11,76,47,"41,19,98,14,47,69,48,93,20,70"
single_tree_split_counts,make_classification_n250_p100_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,10,0.1,104818,rt,1,82,14,68,41,"41,19,98,14,47,69,48,93,20,70"
