task,dataset,downstream_model,method_base,method_id,k,endpoint_k,dataset_mean_score,endpoint_score,score_minus_endpoint,is_standard_k,is_endpoint,is_best_over_observed_k
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,1000,7129,0.7355555555555555,0.7575555555555556,-0.02200000000000013,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,1783,7129,0.7275555555555556,0.7575555555555556,-0.030000000000000027,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,3565,7129,0.7495555555555555,0.7575555555555556,-0.008000000000000118,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,5347,7129,0.7495555555555555,0.7575555555555556,-0.008000000000000118,False,False,False
classification,ALLAML,knn,pi,pi__6e89acc5e72da5a8,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,True
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,5,7129,0.8802222222222222,0.7575555555555556,0.12266666666666659,True,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,10,7129,0.8908888888888888,0.7575555555555556,0.1333333333333332,True,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,25,7129,0.9211111111111111,0.7575555555555556,0.16355555555555545,True,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,50,7129,0.9211111111111111,0.7575555555555556,0.16355555555555545,True,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,100,7129,0.9251111111111111,0.7575555555555556,0.16755555555555546,True,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,150,7129,0.945111111111111,0.7575555555555556,0.18755555555555536,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,200,7129,0.945111111111111,0.7575555555555556,0.18755555555555536,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,300,7129,0.9613333333333334,0.7575555555555556,0.20377777777777772,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,500,7129,0.968,0.7575555555555556,0.21044444444444432,False,False,True
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,750,7129,0.948,0.7575555555555556,0.1904444444444443,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,1000,7129,0.924,0.7575555555555556,0.1664444444444444,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,1783,7129,0.892,0.7575555555555556,0.13444444444444437,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,3565,7129,0.8295555555555556,0.7575555555555556,0.07199999999999995,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,5347,7129,0.7993333333333333,0.7575555555555556,0.04177777777777769,False,False,False
classification,ALLAML,knn,ptest_mc,ptest_mc__307d6fc3284c28e2,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,5,7129,0.9466666666666668,0.7575555555555556,0.18911111111111112,True,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,10,7129,0.9246666666666666,0.7575555555555556,0.167111111111111,True,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,25,7129,0.9266666666666667,0.7575555555555556,0.1691111111111111,True,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,50,7129,0.9366666666666668,0.7575555555555556,0.1791111111111111,True,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,100,7129,0.9471111111111111,0.7575555555555556,0.18955555555555548,True,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,150,7129,0.9491111111111111,0.7575555555555556,0.19155555555555548,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,200,7129,0.9593333333333334,0.7575555555555556,0.20177777777777772,False,False,True
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,300,7129,0.9577777777777777,0.7575555555555556,0.20022222222222208,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,500,7129,0.9520000000000001,0.7575555555555556,0.19444444444444442,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,750,7129,0.9279999999999999,0.7575555555555556,0.1704444444444443,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1000,7129,0.9097777777777778,0.7575555555555556,0.15222222222222215,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,1783,7129,0.8537777777777777,0.7575555555555556,0.0962222222222221,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,3565,7129,0.8013333333333335,0.7575555555555556,0.043777777777777804,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,5347,7129,0.7835555555555556,0.7575555555555556,0.025999999999999912,False,False,False
classification,ALLAML,knn,ptest_rdc,ptest_rdc__307d6fc3284c28e2,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,5,7129,0.5986666666666667,0.6802222222222223,-0.0815555555555556,True,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,10,7129,0.6048888888888889,0.6802222222222223,-0.07533333333333336,True,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,25,7129,0.6888888888888889,0.6802222222222223,0.0086666666666666,True,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,50,7129,0.7002222222222223,0.6802222222222223,0.020000000000000018,True,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,100,7129,0.7088888888888889,0.6802222222222223,0.028666666666666618,True,False,True
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,150,7129,0.6782222222222223,0.6802222222222223,-0.0020000000000000018,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,200,7129,0.6759999999999999,0.6802222222222223,-0.004222222222222349,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,300,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,500,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,750,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,1000,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,1783,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,3565,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,5347,7129,0.6802222222222223,0.6802222222222223,0.0,False,False,False
classification,ALLAML,knn,r_cforest,r_cforest__37be32340835a93b,7129,7129,0.6802222222222223,0.6802222222222223,0.0,False,True,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,5,7129,0.522,0.7575555555555556,-0.23555555555555563,True,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,10,7129,0.67,0.7575555555555556,-0.08755555555555561,True,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,25,7129,0.6035555555555555,0.7575555555555556,-0.15400000000000014,True,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,50,7129,0.5831111111111111,0.7575555555555556,-0.1744444444444445,True,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,100,7129,0.6902222222222223,0.7575555555555556,-0.06733333333333336,True,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,150,7129,0.6746666666666666,0.7575555555555556,-0.08288888888888901,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,200,7129,0.66,0.7575555555555556,-0.09755555555555562,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,300,7129,0.7031111111111111,0.7575555555555556,-0.05444444444444452,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,500,7129,0.7893333333333333,0.7575555555555556,0.03177777777777768,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,750,7129,0.8182222222222222,0.7575555555555556,0.060666666666666536,False,False,True
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,1000,7129,0.7995555555555556,0.7575555555555556,0.041999999999999926,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,1783,7129,0.7657777777777778,0.7575555555555556,0.00822222222222213,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,3565,7129,0.7635555555555555,0.7575555555555556,0.005999999999999894,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,5347,7129,0.7755555555555556,0.7575555555555556,0.017999999999999905,False,False,False
classification,ALLAML,knn,r_ctree,r_ctree__b6e09ceb0eb26367,7129,7129,0.7575555555555556,0.7575555555555556,0.0,False,True,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,5,7129,0.894,0.7575555555555556,0.13644444444444437,True,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,10,7129,0.9328888888888889,0.7575555555555556,0.17533333333333323,True,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,25,7129,0.9566666666666667,0.7575555555555556,0.19911111111111102,True,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,50,7129,0.9571111111111111,0.7575555555555556,0.19955555555555549,True,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,100,7129,0.945111111111111,0.7575555555555556,0.18755555555555536,True,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,150,7129,0.9595555555555555,0.7575555555555556,0.20199999999999985,False,False,True
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,200,7129,0.9595555555555555,0.7575555555555556,0.20199999999999985,False,False,True
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,300,7129,0.9355555555555556,0.7575555555555556,0.17799999999999994,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,500,7129,0.8877777777777779,0.7575555555555556,0.13022222222222224,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,750,7129,0.8535555555555555,0.7575555555555556,0.09599999999999986,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,1000,7129,0.8233333333333333,0.7575555555555556,0.0657777777777776,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,1783,7129,0.8093333333333333,0.7575555555555556,0.0517777777777777,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,3565,7129,0.7677777777777777,0.7575555555555556,0.010222222222222022,False,False,False
classification,ALLAML,knn,rf,rf__27caa3a0a3b84fd9,5347,7129,0.7495555555555556,0.7575555555555556,-0.008000000000000007,False,False,False
