experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,knn_r2_mean,knn_r2_std
strictness_continuum,clf,clf_weak_signal,no_bonf_a10,100,1000,0.26,0.1019803902718557,0.26,0.1019803902718557,0.26000000000000006,0.10198039027185571,0.901010101010101,0.05046463029008807,0.5242860146290635,0.011046094209884389,0.5535454754185365,0.03929934884021751,49.68722903580001,1.2251078824101416,2.1599999999999997,0.04732863826479699,8.2,0.7483314773547882,1.3059999999999998,0.07337574531137658,,,,,,,,
strictness_continuum,clf,clf_weak_signal,no_bonf_a20,100,1000,0.24000000000000005,0.10198039027185571,0.24000000000000005,0.10198039027185571,0.24000000000000005,0.10198039027185571,0.8848484848484848,0.05480670693434561,0.5335307856617646,0.01874516523882976,0.5571699013176901,0.018817187415272725,54.266553430800016,1.9204647527867633,2.292,0.1057166022912201,9.0,0.6324555320336759,1.4900000000000002,0.12915107432770354,,,,,,,,
strictness_continuum,clf,clf_weak_signal,no_bonf_a50,100,1000,0.24000000000000005,0.07999999999999999,0.24000000000000005,0.07999999999999999,0.24000000000000005,0.07999999999999997,0.8969696969696969,0.051266979961412204,0.5305390067411206,0.01666646089444223,0.5499944035675585,0.016755932942666495,64.49826954859982,2.653113155082347,2.336,0.06651315659326358,9.2,0.9797958971132712,1.5560000000000003,0.06216108107168021,,,,,,,,
strictness_continuum,clf,clf_weak_signal,wide_open_a99,100,1000,0.22000000000000003,0.09797958971132711,0.22000000000000003,0.09797958971132711,0.22000000000000003,0.09797958971132711,0.8929292929292929,0.05014009553935699,0.5269447010636318,0.01968817019829648,0.5444570174833143,0.01715443283686886,65.24916285359959,4.2499313124029445,2.316,0.10818502669038824,8.4,0.7999999999999999,1.5219999999999998,0.13644046320648426,,,,,,,,
strictness_continuum,clf,clf_weak_signal,no_bonf_a20_no_es,100,1000,0.28,0.09797958971132713,0.28,0.09797958971132713,0.28,0.09797958971132713,0.8303030303030303,0.049236596391733084,0.5299172853375292,0.01642618456701199,0.5551467624912904,0.05698622321928918,120.00917457239993,3.6614664007411584,1.5479999999999998,0.10067770358922577,5.0,0.6324555320336759,0.572,0.11582745788456207,,,,,,,,
strictness_continuum,clf,clf_weak_signal,no_bonf_a05_no_boot,100,1000,0.18,0.07483314773547882,0.18,0.07483314773547882,0.18000000000000002,0.07483314773547882,0.2525252525252525,0.21226546321719106,0.5034648329690175,0.024149074212505103,0.523070719771535,0.024483534554150324,29.15089861279994,1.4019711154677617,1.02,0.03033150177620623,1.6,0.4898979485566356,0.019999999999999997,0.030331501776206207,,,,,,,,
strictness_continuum,clf,clf_weak_signal,optimized_a20,100,1000,0.18,0.07483314773547882,0.18,0.07483314773547882,0.18000000000000002,0.07483314773547882,0.7696969696969698,0.09288536511169816,0.5275521530349826,0.007892565737751305,0.530169634652356,0.011253367183829558,29.801310175600157,0.7255082587956297,1.308,0.03815756805667786,4.0,0.6324555320336759,0.312,0.04261455150532504,,,,,,,,
strictness_continuum,clf,clf_weak_signal,rf,100,1000,0.7,0.0632455532033676,0.7,0.0632455532033676,0.7,0.06324555320336764,0.905050505050505,0.03647569714195512,0.5350711467587954,0.014898683414868448,0.703847799628407,0.019221323889106363,0.17208843159969547,0.010476386285274404,0.0,0.0,0.0,0.0,73.724,0.22966061917533814,,,,,,,,
strictness_continuum,clf,clf_weak_signal,et,100,1000,0.8,0.0632455532033676,0.8,0.0632455532033676,0.8,0.0632455532033676,0.9070707070707071,0.03746916563836647,0.5391328486301793,0.019578520925855238,0.7358098045290528,0.030521699070233818,0.12846467719991778,0.010779398996243573,0.0,0.0,0.0,0.0,97.136,0.13184839779079519,,,,,,,,
strictness_continuum,clf,clf_nonlinear,strict_default,100,1000,0.42000000000000004,0.039999999999999994,0.8400000000000001,0.07999999999999999,0.5599999999999999,0.05333333333333332,0.8121212121212122,0.12148118285553866,0.8328042709761201,0.008936025934852489,0.7801938292090519,0.013465048241034215,30.244108190599764,1.948871328671251,2.36,0.055497747702046483,7.8,0.7483314773547882,1.4620000000000002,0.06910861017268399,,,,,,,,
