task,dataset,model_variant,ranking_variant,candidate_dataset_score,candidate_n_cells,candidate_score_missing_rows,reference_dataset_score,reference_n_cells,reference_score_missing_rows,reference_model_variant,reference_ranking_variant,delta_vs_reference
classification,musk,cif_one_tree,split_count,0.8680612243129535,15,0,0.8796135797184778,15,0,cif_default,split_importance,-0.01155235540552424
classification,musk,cif_one_tree,split_importance,0.8634432443437063,15,0,0.8796135797184778,15,0,cif_default,split_importance,-0.016170335374771416
classification,orlraws10P,cif_default,split_count,0.8772,15,0,0.8606666666666667,15,0,cif_default,split_importance,0.01653333333333329
classification,orlraws10P,cif_no_bootstrap,split_count,0.8625333333333334,15,0,0.8606666666666667,15,0,cif_default,split_importance,0.0018666666666666831
classification,orlraws10P,cif_no_bootstrap,split_importance,0.8692,15,0,0.8606666666666667,15,0,cif_default,split_importance,0.008533333333333282
classification,orlraws10P,cif_no_mute,split_count,0.8790666666666667,15,0,0.8606666666666667,15,0,cif_default,split_importance,0.018399999999999972
classification,orlraws10P,cif_no_mute,split_importance,0.8667999999999999,15,0,0.8606666666666667,15,0,cif_default,split_importance,0.006133333333333213
classification,orlraws10P,cif_one_tree,split_count,0.8118666666666667,15,0,0.8606666666666667,15,0,cif_default,split_importance,-0.048799999999999955
classification,orlraws10P,cif_one_tree,split_importance,0.8094666666666667,15,0,0.8606666666666667,15,0,cif_default,split_importance,-0.05120000000000002
classification,page-blocks,cif_default,split_count,0.8530013880614801,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.01258650948859208
classification,page-blocks,cif_no_bootstrap,split_count,0.8570887634288723,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.008499134121199847
classification,page-blocks,cif_no_bootstrap,split_importance,0.8651081715793407,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.0004797259707314261
classification,page-blocks,cif_no_mute,split_count,0.8530054572374719,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.012582440312600252
classification,page-blocks,cif_no_mute,split_importance,0.8664048297342646,6,0,0.8655878975500721,6,0,cif_default,split_importance,0.0008169321841924315
classification,page-blocks,cif_one_tree,split_count,0.8604122830488771,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.0051756145011950805
classification,page-blocks,cif_one_tree,split_importance,0.8609551983260034,6,0,0.8655878975500721,6,0,cif_default,split_importance,-0.004632699224068726
classification,pendigits,cif_default,split_count,0.8843795833099583,6,0,0.8931391080061348,6,0,cif_default,split_importance,-0.00875952469617658
classification,pendigits,cif_no_bootstrap,split_count,0.8915720239658693,6,0,0.8931391080061348,6,0,cif_default,split_importance,-0.0015670840402655095
classification,pendigits,cif_no_bootstrap,split_importance,0.8986185687964533,6,0,0.8931391080061348,6,0,cif_default,split_importance,0.005479460790318469
classification,pendigits,cif_no_mute,split_count,0.8851284926276474,6,0,0.8931391080061348,6,0,cif_default,split_importance,-0.008010615378487462
classification,pendigits,cif_no_mute,split_importance,0.8960182199290562,6,0,0.8931391080061348,6,0,cif_default,split_importance,0.00287911192292134
classification,pendigits,cif_one_tree,split_count,0.8825348691050037,6,0,0.8931391080061348,6,0,cif_default,split_importance,-0.010604238901131158
classification,pendigits,cif_one_tree,split_importance,0.8841856481680055,6,0,0.8931391080061348,6,0,cif_default,split_importance,-0.00895345983812934
classification,pixraw10P,cif_default,split_count,0.9288000000000001,15,0,0.9433333333333334,15,0,cif_default,split_importance,-0.014533333333333287
