task,dataset,model_variant,ranking_variant,downstream_model,k,mean_score,median_score,std_score,n_fold_seed_rows,n_nonnull_score_rows,n_seeds,n_folds,n_features,score_missing_rows,scores_complete
classification,CLL_SUB_111,cif_no_bootstrap,split_count,knn,50,0.72203367003367,0.7666666666666666,0.1067560917787831,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,knn,100,0.7399326599326599,0.7666666666666666,0.10029794783394516,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,lr,5,0.6724848484848485,0.6868686868686869,0.11637245297999645,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,lr,10,0.7275690235690235,0.7333333333333334,0.08722241122738561,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,lr,25,0.7329696969696969,0.7333333333333334,0.08386265925782532,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,lr,50,0.7486329966329965,0.7333333333333334,0.06398170831785185,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,lr,100,0.7827205387205387,0.7999999999999999,0.06542353535144733,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,svm,5,0.6991919191919191,0.7333333333333334,0.10597880443316363,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,svm,10,0.7155959595959597,0.7333333333333334,0.09022960304107679,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,svm,25,0.7460336700336699,0.744107744107744,0.08139189591545677,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,svm,50,0.773063973063973,0.7811447811447811,0.07178846774653677,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_count,svm,100,0.8143164983164983,0.8333333333333334,0.07619478032478466,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,knn,5,0.603986531986532,0.6195286195286195,0.0928102064764018,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,knn,10,0.6640673400673401,0.6666666666666666,0.08643315374114008,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,knn,25,0.6906936026936027,0.7000000000000001,0.09822150946877486,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,knn,50,0.7080269360269361,0.7000000000000001,0.10372031328791441,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,knn,100,0.7587744107744108,0.7666666666666666,0.07953549721227883,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,lr,5,0.6386666666666667,0.6666666666666666,0.10787558091103866,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,lr,10,0.6781414141414142,0.7000000000000001,0.0608099140510136,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,lr,25,0.7138181818181818,0.7333333333333334,0.09316776158073503,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,lr,50,0.7191515151515151,0.7333333333333334,0.07218711261274623,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,lr,100,0.7935353535353535,0.7999999999999999,0.055654012677532894,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,svm,5,0.6576835016835016,0.6666666666666666,0.08649047421852893,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,svm,10,0.6624915824915825,0.6666666666666666,0.06140074762388767,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,svm,25,0.7289831649831651,0.7333333333333334,0.09457019422690338,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,svm,50,0.7501952861952862,0.7666666666666666,0.08662794968861035,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_bootstrap,split_importance,svm,100,0.8275286195286194,0.8333333333333334,0.06807124647415622,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,knn,5,0.6496296296296297,0.6936026936026937,0.14483359789006547,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,knn,10,0.6845252525252525,0.7306397306397306,0.10467737122446952,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,knn,25,0.7308821548821548,0.7333333333333334,0.09956853489007343,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,knn,50,0.6679999999999999,0.6666666666666666,0.10362731127452186,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,knn,100,0.6866666666666668,0.7000000000000001,0.10200594033803453,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,lr,5,0.6966599326599326,0.7070707070707071,0.11214568341960805,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,lr,10,0.7165925925925926,0.7333333333333334,0.09725791513731612,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,lr,25,0.7592592592592592,0.7666666666666666,0.07042954997118081,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,lr,50,0.7448215488215487,0.7666666666666666,0.054242232657992,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,lr,100,0.7835420875420875,0.7979797979797979,0.05665496530522027,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,svm,5,0.6865589225589226,0.7000000000000001,0.12297811446659139,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,svm,10,0.7282693602693603,0.7333333333333334,0.10108879650523812,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,svm,25,0.7760404040404041,0.7999999999999999,0.05804083596632785,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,svm,50,0.7851178451178451,0.7999999999999999,0.059400180619880165,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_count,svm,100,0.7993670033670034,0.7999999999999999,0.0712728101964833,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_importance,knn,5,0.6585993265993265,0.6498316498316499,0.08015846019380916,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_importance,knn,10,0.6753131313131313,0.6666666666666666,0.08891140287270871,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_importance,knn,25,0.6870168350168351,0.7000000000000001,0.12313316219183347,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_importance,knn,50,0.7183838383838383,0.744107744107744,0.0941030257676884,25,25,5,5,11340,0,True
classification,CLL_SUB_111,cif_no_mute,split_importance,knn,100,0.7270841750841751,0.7333333333333334,0.09734731507587559,25,25,5,5,11340,0,True
