task,downstream_model,dataset,focus_method,baseline,n_k,supported_k,mean_delta,median_delta,start_delta,end_delta,delta_change,win_share,nonloss_share
classification,svm,gisette,cif,boruta,5,"5,10,25,50,100",0.06287999999999998,0.032299999999999995,0.17269999999999996,0.0011999999999998678,-0.1715000000000001,1.0,1.0
classification,svm,gisette,cif,cat,5,"5,10,25,50,100",-0.01871999999999998,-0.01766666666666672,-0.016100000000000003,-0.008700000000000041,0.007399999999999962,0.0,0.0
classification,svm,gisette,cif,cit,5,"5,10,25,50,100",0.014893333333333314,0.024933333333333363,-0.02746666666666664,0.039966666666666595,0.06743333333333323,0.6,0.6
classification,svm,gisette,cif,cpi,5,"5,10,25,50,100",0.15657333333333337,0.16280000000000006,0.24186666666666667,0.05563333333333331,-0.18623333333333336,1.0,1.0
classification,svm,gisette,cif,et,5,"5,10,25,50,100",-0.003673333333333262,-0.0030999999999998806,-0.011566666666666614,0.0017333333333333645,0.013299999999999979,0.4,0.4
classification,svm,gisette,cif,lgbm,5,"5,10,25,50,100",-0.023173333333333313,-0.01969999999999994,-0.042100000000000026,-0.007966666666666677,0.03413333333333335,0.0,0.0
classification,svm,gisette,cif,pi,5,"5,10,25,50,100",0.024853333333333373,0.010533333333333394,0.06816666666666671,0.004766666666666586,-0.06340000000000012,1.0,1.0
classification,svm,gisette,cif,ptest_mc,5,"5,10,25,50,100",0.011226666666666696,0.015866666666666585,0.015866666666666585,0.009399999999999964,-0.006466666666666621,0.8,0.8
classification,svm,gisette,cif,ptest_rdc,5,"5,10,25,50,100",0.007206666666666739,0.008033333333333337,0.008033333333333337,0.006599999999999939,-0.0014333333333333975,1.0,1.0
classification,svm,gisette,cif,r_cforest,5,"5,10,25,50,100",0.22527333333333335,0.2333333333333334,0.31689999999999996,0.11829999999999996,-0.1986,1.0,1.0
classification,svm,gisette,cif,r_ctree,5,"5,10,25,50,100",0.2490566666666667,0.2774,0.3334083333333334,0.12565833333333332,-0.2077500000000001,1.0,1.0
classification,svm,gisette,cif,rf,5,"5,10,25,50,100",-0.001153333333333273,0.0008333333333334636,-0.00880000000000003,0.0021999999999999797,0.01100000000000001,0.6,0.6
classification,svm,gisette,cif,rfe,5,"5,10,25,50,100",-0.010806666666666631,-0.012199999999999989,-0.007600000000000051,-0.005499999999999949,0.002100000000000102,0.0,0.0
classification,svm,gisette,cif,xgb,5,"5,10,25,50,100",-0.0224733333333333,-0.020399999999999863,-0.03826666666666667,-0.008233333333333426,0.030033333333333245,0.0,0.0
classification,svm,glass,cif,boruta,2,"5,10",0.031212301587301594,0.031212301587301594,0.06242460317460319,0.0,-0.06242460317460319,0.5,1.0
classification,svm,glass,cif,cat,2,"5,10",0.006285714285714283,0.006285714285714283,0.012571428571428567,0.0,-0.012571428571428567,0.5,1.0
classification,svm,glass,cif,cit,2,"5,10",0.020007936507936475,0.020007936507936475,0.04001587301587295,0.0,-0.04001587301587295,0.5,1.0
classification,svm,glass,cif,cpi,2,"5,10",0.04449404761904763,0.04449404761904763,0.08898809523809526,0.0,-0.08898809523809526,0.5,1.0
classification,svm,glass,cif,et,2,"5,10",0.003702380952380957,0.003702380952380957,0.007404761904761914,0.0,-0.007404761904761914,0.5,1.0
classification,svm,glass,cif,lgbm,2,"5,10",0.012660714285714303,0.012660714285714303,0.025321428571428606,0.0,-0.025321428571428606,0.5,1.0
