experiment,task,dataset_type,variant,n_features,n_samples,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,f1_at_10_mean,f1_at_10_std,spread_at_10_mean,spread_at_10_std,lr_ba_mean,lr_ba_std,svm_ba_mean,svm_ba_std,knn_ba_mean,knn_ba_std,elapsed_seconds_mean,elapsed_seconds_std,mean_depth_mean,mean_depth_std,max_depth_mean,max_depth_std,mean_features_used_mean,mean_features_used_std,confounder_rate_at_5_mean,confounder_rate_at_5_std,confounder_rate_at_10_mean,confounder_rate_at_10_std,ridge_r2_mean,ridge_r2_std,svr_r2_mean,svr_r2_std,knn_r2_mean,knn_r2_std
threshold_search_ablation,clf,clf_toeplitz,cit,100,1000,0.32,0.040000000000000015,0.32,0.040000000000000015,0.32,0.040000000000000036,0.7454545454545455,0.1348248380885946,0.8220258278623476,0.053714185017562886,0.8164141596325422,0.05104066975957632,0.7825890387898901,0.057312899146460705,9.982187989799423,4.273002987996214,4.4,0.4898979485566356,4.4,0.4898979485566356,3.0,0.6324555320336759,,,,,,,,,,
threshold_search_ablation,clf,clf_confounder,exact_all,120,1000,0.31999999999999995,0.040000000000000015,0.31999999999999995,0.040000000000000015,0.32,0.040000000000000036,0.8521008403361344,0.10368535674075414,0.7839898516220571,0.06906646595772258,0.8331758170406175,0.027124300189028613,0.8201656927109637,0.026460406057015946,113.72581686099984,38.375009108796306,5.680000000000001,0.8584870412533904,10.2,0.39999999999999997,7.502000000000001,1.6681414808103057,0.6,0.1264911064067352,0.6799999999999999,0.039999999999999994,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_32,120,1000,0.48,0.0748331477354788,0.48,0.0748331477354788,0.48,0.07483314773547879,0.9310924369747898,0.05533471473329185,0.8019984128129284,0.07143217739740405,0.8645997162301902,0.040495281743027606,0.8507923911213717,0.05089709660957299,1.1289985002000322,0.1149304684211099,5.876,0.5718601227573051,10.0,1.5491933384829668,7.864,1.3249090534825398,0.52,0.0979795897113271,0.52,0.0748331477354788,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_64,120,1000,0.36,0.08,0.36,0.08,0.36000000000000004,0.08000000000000002,0.8605042016806722,0.0976526994711526,0.793618786523339,0.0726912242739672,0.8540196715003727,0.030522512492405323,0.8354099030853955,0.04218377068096951,2.877220876199499,0.19698997354857303,5.756,0.7806048936561951,10.0,1.0954451150103321,7.531999999999999,1.4966014833615529,0.6,0.1264911064067352,0.64,0.07999999999999999,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_128,120,1000,0.42000000000000004,0.039999999999999994,0.42000000000000004,0.039999999999999994,0.42000000000000004,0.03999999999999997,0.8773109243697478,0.05979982142741916,0.7976023855902653,0.06671090474013122,0.8436163816944425,0.0364064656327656,0.8267934011495083,0.04758550376734606,8.758155936199547,1.230520287226316,5.5760000000000005,0.7370644476570553,9.4,0.48989794855663565,7.124,1.3586110554533257,0.6,0.1264911064067352,0.58,0.039999999999999994,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_256,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8672268907563027,0.09645946119181004,0.7914123560108698,0.07311343984799333,0.85,0.03488456712689824,0.8409903085395474,0.03852158404007951,23.695793767199937,1.950907782138878,5.5040000000000004,0.7236186841147759,9.4,0.7999999999999999,6.984,1.4347626981490704,0.64,0.14966629547095767,0.62,0.039999999999999994,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_512,120,1000,0.42000000000000004,0.116619037896906,0.42000000000000004,0.116619037896906,0.42000000000000004,0.116619037896906,0.9226890756302522,0.026785508320183563,0.8016076281172595,0.07378734615981182,0.8653909049371137,0.029184952957016733,0.854985210302287,0.032146308777207276,72.97109188139984,19.775126078184314,5.602,0.7980576420284439,9.8,0.39999999999999997,7.148000000000001,1.5458382839094131,0.64,0.08000000000000003,0.58,0.11661903789690597,,,,,,
threshold_search_ablation,clf,clf_confounder,histogram_all,120,1000,0.4,0.10954451150103323,0.4,0.10954451150103323,0.4,0.10954451150103323,0.9226890756302522,0.026785508320183563,0.8046100569944448,0.07169698878277121,0.8727929682803068,0.03143599715110358,0.863400909025323,0.0350902028877257,99.63557369779991,44.17500343800188,5.582000000000001,0.8585662467160003,10.0,1.0954451150103321,7.109999999999999,1.5864173473585066,0.64,0.08000000000000003,0.6,0.1095445115010332,,,,,,
threshold_search_ablation,clf,clf_confounder,rf,120,1000,0.42000000000000004,0.039999999999999994,0.42000000000000004,0.039999999999999994,0.4200000000000001,0.03999999999999997,0.8470588235294118,0.11673112843149808,0.7780042324988578,0.06927230325282831,0.8378135295673713,0.025630444069216364,0.8142149436067623,0.03165768859796294,0.12844000919976678,0.002983824163543123,0.0,0.0,0.0,0.0,61.720000000000006,5.114954545252577,0.5599999999999999,0.14966629547095767,0.5800000000000001,0.03999999999999999,,,,,,
threshold_search_ablation,clf,clf_confounder,et,120,1000,0.38,0.040000000000000015,0.38,0.040000000000000015,0.38000000000000006,0.040000000000000036,0.8571428571428571,0.0982870017963929,0.7886035158598466,0.06412360158408056,0.8392143423995382,0.02275016797692404,0.8256006060168819,0.028295715753066022,0.09857933300008881,0.0010439292921967352,0.0,0.0,0.0,0.0,103.6,3.3126243372890904,0.68,0.09797958971132716,0.6199999999999999,0.039999999999999994,,,,,,
