study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,dataset_seed,method,seed,n_estimators,n_split_events,n_true_split_events,n_noise_split_events,distinct_noise_features_used,informative_indices,sweep_n_estimators
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cif_all,0,100,3152,1145,2007,812,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cif_all,1,100,3150,1142,2008,813,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cif_all,2,100,3150,1141,2009,814,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cif_all,3,100,3145,1145,2000,814,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,cif_all,4,100,3146,1146,2000,814,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rf,0,100,15743,849,14894,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rf,1,100,15756,872,14884,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rf,2,100,15694,851,14843,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rf,3,100,15709,850,14859,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,rf,4,100,15705,850,14855,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,et,0,100,24900,1624,23276,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,et,1,100,24900,1602,23298,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,et,2,100,24900,1632,23268,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,et,3,100,24900,1631,23269,998,"140,481",100
ensemble_split_counts,make_regression_n250_p1000_i2,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,1000,2,0.002,27718,et,4,100,24900,1623,23277,998,"140,481",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif,0,100,195,105,90,51,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif,1,100,197,106,91,51,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif,2,100,205,109,96,55,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif,3,100,197,105,92,53,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif,4,100,200,106,94,53,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif_all,0,100,2200,1266,934,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif_all,1,100,2203,1267,936,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif_all,2,100,2214,1272,942,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif_all,3,100,2214,1272,942,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,cif_all,4,100,2211,1274,937,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rf,0,100,15743,1795,13948,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rf,1,100,15756,1790,13966,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rf,2,100,15694,1815,13879,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rf,3,100,15709,1851,13858,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,rf,4,100,15705,1793,13912,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,et,0,100,24900,3388,21512,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,et,1,100,24900,3370,21530,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,et,2,100,24900,3318,21582,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,et,3,100,24900,3404,21496,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p100_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,100,5,0.05,56818,et,4,100,24900,3360,21540,95,"86,2,57,28,1",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cif,0,100,126,29,97,79,"203,473,284,314,459",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cif,1,100,126,29,97,79,"203,473,284,314,459",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cif,2,100,129,29,100,81,"203,473,284,314,459",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cif,3,100,138,30,108,88,"203,473,284,314,459",100
ensemble_split_counts,make_regression_n250_p500_i5,regression,easy_shuffled_regression,vary_dimension_fixed_signal,250,500,5,0.01,57218,cif,4,100,145,33,112,92,"203,473,284,314,459",100
