study,task,n,k,threshold_test,stopping,repeats,censored,timeout_seconds,seconds_per_fit,seconds_min,seconds_max,depth
synthetic_scaling,classification,16000,256,bonferroni_fixed,adaptive,3,False,1200.0,8.843094274000123,8.827507341,8.894370121999827,7.0
synthetic_scaling,classification,16000,256,bonferroni_fixed,exhaustive,3,False,1200.0,3.539429173999906,3.4386189499998636,3.5647472759999346,0.0
synthetic_scaling,classification,16000,256,maxt,adaptive,3,False,1200.0,1.2128111720001016,1.1825232179999148,1.2187545249998948,9.333333333333334
synthetic_scaling,classification,16000,256,maxt,exhaustive,3,False,1200.0,6.282477513999993,6.269015606000039,6.296009527000024,8.0
synthetic_scaling,regression,1000,16,bonferroni,adaptive,3,False,1200.0,0.0461877469999763,0.0461816459999226,0.0464225340001576,6.0
synthetic_scaling,regression,1000,16,bonferroni,exhaustive,3,False,1200.0,0.0637200940000184,0.0635180770000261,0.0640700139999808,6.0
synthetic_scaling,regression,1000,16,bonferroni_fixed,adaptive,3,False,1200.0,0.0439559379999536,0.0428546739999546,0.0454638449998583,6.0
synthetic_scaling,regression,1000,16,bonferroni_fixed,exhaustive,3,False,1200.0,0.0495178119999764,0.0491907209998316,0.0497638389999792,6.0
synthetic_scaling,regression,1000,16,maxt,adaptive,3,False,1200.0,0.0564795290001711,0.0528170439999939,0.0570364760001211,7.0
synthetic_scaling,regression,1000,16,maxt,exhaustive,3,False,1200.0,0.0713826260000587,0.0712735090000933,0.0719998340000529,7.0
synthetic_scaling,regression,1000,64,bonferroni,adaptive,3,False,1200.0,0.0824708290001581,0.0819359310000891,0.0829311160000543,7.0
synthetic_scaling,regression,1000,64,bonferroni,exhaustive,3,False,1200.0,0.1447864829999616,0.1443217190001178,0.1448547160000544,7.0
synthetic_scaling,regression,1000,64,bonferroni_fixed,adaptive,3,False,1200.0,0.0670989320001353,0.0667715919998954,0.0672659920001024,7.0
synthetic_scaling,regression,1000,64,bonferroni_fixed,exhaustive,3,False,1200.0,0.0570827989999997,0.0570428690000426,0.0574739220000992,0.0
synthetic_scaling,regression,1000,64,maxt,adaptive,3,False,1200.0,0.0598311759999887,0.0588571259997934,0.0604058240000995,6.0
synthetic_scaling,regression,1000,64,maxt,exhaustive,3,False,1200.0,0.1509656059999997,0.1494577109999681,0.1552171700000144,6.0
