task,dataset_source,dataset_type,variant,n_runs,n_success,mean_elapsed_seconds,median_elapsed_seconds,p25_elapsed_seconds,p75_elapsed_seconds,mean_elapsed_ratio_vs_default,median_elapsed_ratio_vs_default,mean_elapsed_speedup_vs_default,median_elapsed_speedup_vs_default,mean_depth,mean_max_depth,mean_features_used,mean_importance_nonzero_count,mean_precision_at_10,mean_recall_at_10,mean_f1_at_10,changes_statistical_rule
clf,synthetic,clf_nonlinear,cit_no_bonferroni,5,5,0.21402459459999928,0.2058791590000055,0.1978184740000301,0.2368081269999606,0.013053754913060683,0.012763516955370546,79.19290857588123,78.34831132333215,10.4,10.4,28.6,28.6,0.4,0.8,0.5333333333333333,True
clf,synthetic,clf_nonlinear,cit_no_feature_mute,5,5,15.644166042,14.407738179999969,14.20648048000004,14.753694869000014,0.9418431181251741,0.9976209658634602,1.0820399960349922,1.0023847074369379,6.2,6.2,4.2,4.2,0.4,0.8,0.5333333333333333,False
clf,synthetic,clf_nonlinear,cit_no_feature_scan,5,5,13.056667911799996,12.34798658799997,8.901072596999995,17.329097547000003,0.7959700974869435,0.8487876355215732,1.4047805493877326,1.1781509981416116,6.0,6.0,3.8,3.8,0.38,0.76,0.5066666666666666,False
clf,synthetic,clf_nonlinear,cit_no_threshold_scan,5,5,9.765770175799997,10.136476482999996,10.109872843000003,10.33980507199999,0.5892465040341042,0.539920725742737,1.7382200051188927,1.852123751360645,8.4,8.4,4.6,4.6,0.4,0.8,0.5333333333333333,False
clf,synthetic,clf_redundant,cit_default,5,5,12.280798478799998,11.800306162000028,11.444587678000005,13.233178741000003,1.0,1.0,1.0,1.0,6.6,6.6,6.8,6.8,0.42000000000000004,0.42000000000000004,0.42000000000000004,False
clf,synthetic,clf_redundant,cit_exact_thresholds,5,5,18.251915709200006,19.110005086,18.485128727000017,19.180604195,1.5020795980841366,1.4662639277435674,0.6906377125248501,0.6820054569158633,7.0,7.0,7.0,7.0,0.36,0.36,0.36000000000000004,False
clf,synthetic,clf_redundant,cit_no_adaptive,5,5,4.368757348599999,2.907354884999961,2.535047757000001,3.48240743300002,0.3513171629030428,0.2463796146546078,3.7408209057548687,4.05877735218423,10.2,10.2,10.6,10.6,0.42000000000000004,0.42000000000000004,0.42000000000000004,False
clf,synthetic,clf_redundant,cit_no_bonferroni,5,5,0.15901885180000472,0.1611652839999919,0.1585903890000111,0.1623792510000044,0.013252695268090845,0.013657720552961997,77.53659520887723,73.21866017994684,10.0,10.0,20.0,20.0,0.38,0.38,0.38,True
clf,synthetic,clf_redundant,cit_no_feature_mute,5,5,11.29317588599999,11.449053421000002,9.856522243999962,11.76896508699997,0.9253033186010654,1.000390205669758,1.1194481392657154,0.9996099465313171,6.6,6.6,6.8,6.8,0.42000000000000004,0.42000000000000004,0.42000000000000004,False
clf,synthetic,clf_redundant,cit_no_feature_scan,5,5,12.61503126940001,11.24996243299998,10.258725625000013,14.727883736000024,1.068634072423094,0.8963822824932713,1.0647824826994785,1.1155954546742244,6.2,6.2,7.4,7.4,0.32,0.32,0.32,False
clf,synthetic,clf_redundant,cit_no_threshold_scan,5,5,7.653392324199984,6.972340255999995,6.587989908999987,8.97906233499998,0.630041017420175,0.6092259898015342,1.6405093410857041,1.6414270184464177,11.6,11.6,7.4,7.4,0.42000000000000004,0.42000000000000004,0.42000000000000004,False
clf,synthetic,clf_standard_easy,cit_default,5,5,21.662047703800006,18.429861672000015,17.27148058299997,26.158632028,1.0,1.0,1.0,1.0,6.8,6.8,5.4,5.4,0.6199999999999999,0.6199999999999999,0.6199999999999999,False
clf,synthetic,clf_standard_easy,cit_exact_thresholds,5,5,45.86100464920001,45.16884894100008,29.55466684800001,65.050326953,2.0472720124247226,2.122818576834486,0.5188252014446494,0.47107181504468665,7.2,7.2,5.8,5.8,0.62,0.62,0.62,False
clf,synthetic,clf_standard_easy,cit_no_adaptive,5,5,4.14222864439999,3.1976221859999896,3.1839364179999734,3.269788618000007,0.18413411825700865,0.17741796852266706,5.840433915955102,5.636407678020725,10.8,10.8,6.0,6.0,0.6199999999999999,0.6199999999999999,0.6199999999999999,False
clf,synthetic,clf_standard_easy,cit_no_bonferroni,5,5,0.13335108219999936,0.1326234729999669,0.1261084909999681,0.1349750800000038,0.006523909193433759,0.007196118742521986,162.23022296799857,138.9637992062281,9.6,9.6,10.8,10.8,0.6799999999999999,0.6799999999999999,0.6799999999999999,True
clf,synthetic,clf_standard_easy,cit_no_feature_mute,5,5,20.7154079174,18.46122741199997,17.23045098700004,25.741387100999987,0.9702563457759009,0.9990307527177701,1.0358710247060747,1.0009701876339574,6.8,6.8,5.4,5.4,0.6199999999999999,0.6199999999999999,0.6199999999999999,False
