study,dataset,task,kind,design_family,n_samples,n_features,n_informative,informative_fraction,method,n_fit_seeds,n_estimators_per_fit,total_trees,mean_total_splits_per_fit,mean_true_split_events_per_fit,mean_noise_split_events_per_fit,informative_split_share,distinct_false_features_used,max_false_tree_use_count,mean_false_tree_use_count,true_split_counts,true_tree_use_counts,sweep_n_estimators
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,et,5,500,2500,31554.0,2375.0,29179.0,0.07526779489129745,98,1293,1091.6020408163265,"1896,9979","1272,2493",500
ensemble_split_counts,make_classification_n250_p100_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,2,0.02,rf,5,500,2500,10526.6,996.8,9529.8,0.09469344327703152,98,621,432.7244897959184,"802,4182","653,2335",500
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,cif,5,500,2500,398.4,275.4,123.0,0.6912650602409639,59,30,6.473684210526316,"360,360,522,70,65","360,360,497,70,65",500
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,cif_all,5,500,2500,1213.2,1125.2,88.0,0.9274645565446752,29,55,4.631578947368421,"1534,1537,2555,0,0","1534,1372,2500,0,0",500
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,et,5,500,2500,32695.0,4658.0,28037.0,0.14246826731916196,95,1294,1103.8947368421052,"4548,5203,8235,2686,2618","2136,2280,2458,1613,1598",500
ensemble_split_counts,make_classification_n250_p100_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,100,5,0.05,rf,5,500,2500,10337.0,1879.0,8458.0,0.18177420915159137,95,558,405.88421052631577,"1884,2057,3434,1053,967","1473,1619,2152,871,783",500
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,cif,5,500,2500,438.0,40.0,398.0,0.091324200913242,182,70,3.9779559118236474,200,200,500
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,cif_all,5,500,2500,500.0,500.0,0.0,1.0,0,0,0.0,2500,2500,500
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,et,5,500,2500,30984.8,803.2,30181.6,0.025922387751413596,499,600,283.9899799599198,4016,2110,500
ensemble_split_counts,make_classification_n250_p500_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,1,0.002,rf,5,500,2500,11774.8,393.2,11381.6,0.03339334850698101,499,311,111.36072144288578,1966,1538,500
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,cif,5,500,2500,708.8,345.8,363.0,0.4878668171557562,195,69,3.704081632653061,"145,309,141,201,202,153,219,25,5,329","140,294,141,201,202,153,214,25,5,324",500
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,cif_all,5,500,2500,1787.6,1397.6,390.0,0.7818303871112106,159,90,3.9693877551020407,"472,2856,497,314,215,105,265,0,10,2254","462,2500,492,309,215,105,265,0,10,2099",500
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,et,5,500,2500,31964.6,2488.0,29476.6,0.07783610619247543,490,521,283.1938775510204,"1222,2548,1001,1442,1036,1217,1387,553,366,1668","1006,1667,848,1116,870,984,1106,504,340,1257",500
ensemble_split_counts,make_classification_n250_p500_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,10,0.02,rf,5,500,2500,11615.4,1340.2,10275.2,0.115381304130723,490,235,102.7673469387755,"554,1520,528,752,506,605,796,268,136,1036","519,1270,504,705,477,570,742,256,132,933",500
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,cif,5,500,2500,360.2,44.0,316.2,0.12215435868961688,176,50,3.1546184738955825,"5,215","5,205",500
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,cif_all,5,500,2500,548.4,500.0,48.4,0.9117432530999271,14,127,0.4859437751004016,"0,2500","0,2500",500
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,et,5,500,2500,31540.8,877.6,30663.2,0.02782427839496779,498,514,289.0381526104418,"384,4004","355,2095",500
ensemble_split_counts,make_classification_n250_p500_i2,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,2,0.004,rf,5,500,2500,11878.2,436.0,11442.2,0.03670589820006398,498,286,112.3132530120482,"230,1950","222,1517",500
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,cif,5,500,2500,487.8,179.8,308.0,0.36859368593685937,176,80,3.111111111111111,"25,213,198,205,258","25,213,198,205,258",500
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,cif_all,5,500,2500,1636.8,1511.8,125.0,0.9236314760508308,70,65,1.2525252525252526,"25,2505,1176,2257,1596","25,2500,1176,2057,1586",500
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,et,5,500,2500,32959.6,1598.4,31361.2,0.048495734171531205,495,513,297.43636363636364,"601,2087,1641,1783,1880","527,1494,1255,1341,1381",500
ensemble_split_counts,make_classification_n250_p500_i5,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,500,5,0.01,rf,5,500,2500,12313.0,828.2,11484.8,0.06726224315763826,495,239,113.47676767676768,"239,1164,884,970,884","231,1041,815,888,812",500
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif,5,1000,5000,991.0,98.0,893.0,0.09889001009081735,444,95,4.46946946946947,490,485,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,cif_all,5,1000,5000,1000.0,1000.0,0.0,1.0,0,0,0.0,5000,5000,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,et,5,1000,5000,60328.0,1039.0,59289.0,0.01722251690757194,999,640,288.02302302302303,5195,3378,1000
ensemble_split_counts,make_classification_n250_p1000_i1,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,1,0.001,rf,5,1000,5000,23754.0,539.4,23214.6,0.022707754483455418,999,368,114.83283283283284,2697,2289,1000
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif,5,1000,5000,1383.6,410.4,973.2,0.2966175195143105,471,100,4.915151515151515,"25,320,20,257,393,0,425,15,310,287","25,320,20,247,383,0,420,15,310,287",1000
ensemble_split_counts,make_classification_n250_p1000_i10,classification,easy_shuffled_classification,vary_dimension_fixed_signal,250,1000,10,0.01,cif_all,5,1000,5000,5242.4,4001.6,1240.8,0.7633145124370517,514,215,6.246464646464647,"1584,5726,5,1216,2803,50,3950,935,3396,343","1489,4190,5,1216,2768,50,3775,925,3246,328",1000
