type,es,vm,alpha,time,iteration,n_features
reg,True,False,0.01,0.8867688179016113,5,250
clf,True,False,0.01,1.0948002338409424,5,250
reg,True,False,0.05,0.8832478523254395,1,250
clf,True,False,0.05,1.1019508838653564,1,250
reg,True,False,0.05,0.9015257358551025,2,250
clf,True,False,0.05,1.1083266735076904,2,250
reg,True,False,0.05,0.9009585380554199,3,250
clf,True,False,0.05,1.1020336151123047,3,250
reg,True,False,0.05,0.9079873561859131,4,250
clf,True,False,0.05,1.1209478378295898,4,250
reg,True,False,0.05,0.901557445526123,5,250
clf,True,False,0.05,1.1204321384429932,5,250
reg,True,False,0.95,0.8036770820617676,1,250
clf,True,False,0.95,0.8218419551849365,1,250
reg,True,False,0.95,0.7994544506072998,2,250
clf,True,False,0.95,0.8404791355133057,2,250
reg,True,False,0.95,0.8143472671508789,3,250
clf,True,False,0.95,0.831496000289917,3,250
reg,True,False,0.95,0.82379150390625,4,250
clf,True,False,0.95,0.8275961875915527,4,250
reg,True,False,0.95,0.8402607440948486,5,250
clf,True,False,0.95,0.8369002342224121,5,250
reg,False,True,0.01,1.0224485397338867,1,250
clf,False,True,0.01,1.5180690288543701,1,250
reg,False,True,0.01,1.002863883972168,2,250
clf,False,True,0.01,1.3872058391571045,2,250
reg,False,True,0.01,0.9895119667053223,3,250
clf,False,True,0.01,1.4968328475952148,3,250
reg,False,True,0.01,0.9853522777557373,4,250
clf,False,True,0.01,1.4989449977874756,4,250
reg,False,True,0.01,0.9853720664978027,5,250
clf,False,True,0.01,1.4922654628753662,5,250
reg,False,True,0.05,1.2955353260040283,1,250
clf,False,True,0.05,1.7941644191741943,1,250
reg,False,True,0.05,1.2946970462799072,2,250
clf,False,True,0.05,1.8188939094543457,2,250
reg,False,True,0.05,1.3019537925720215,3,250
clf,False,True,0.05,1.9130985736846924,3,250
reg,False,True,0.05,1.29876708984375,4,250
clf,False,True,0.05,1.815300464630127,4,250
reg,False,True,0.05,1.307332992553711,5,250
clf,False,True,0.05,1.8122541904449463,5,250
reg,False,True,0.95,1.4029722213745117,1,250
clf,False,True,0.95,1.9318523406982422,1,250
reg,False,True,0.95,1.4237699508666992,2,250
clf,False,True,0.95,1.9299657344818115,2,250
reg,False,True,0.95,1.5107665061950684,3,250
clf,False,True,0.95,2.0245249271392822,3,250
reg,False,True,0.95,1.4071893692016602,4,250
clf,False,True,0.95,2.0228447914123535,4,250
reg,False,True,0.95,1.4103636741638184,5,250
clf,False,True,0.95,2.023047924041748,5,250
reg,False,False,0.01,1.0070583820343018,1,250
clf,False,False,0.01,1.5090641975402832,1,250
reg,False,False,0.01,1.0923280715942383,2,250
clf,False,False,0.01,1.402233362197876,2,250
reg,False,False,0.01,0.9898769855499268,3,250
clf,False,False,0.01,1.3993043899536133,3,250
reg,False,False,0.01,0.990757942199707,4,250
clf,False,False,0.01,1.3934476375579834,4,250
reg,False,False,0.01,0.9866480827331543,5,250
clf,False,False,0.01,1.4840104579925537,5,250
reg,False,False,0.05,1.198314905166626,1,250
clf,False,False,0.05,1.9136626720428467,1,250
reg,False,False,0.05,1.299856185913086,2,250
clf,False,False,0.05,1.8180220127105713,2,250
reg,False,False,0.05,1.1998863220214844,3,250
clf,False,False,0.05,1.8102073669433594,3,250
reg,False,False,0.05,1.298520565032959,4,250
clf,False,False,0.05,1.7209076881408691,4,250
reg,False,False,0.05,1.2951812744140625,5,250
clf,False,False,0.05,1.806602954864502,5,250
reg,False,False,0.95,1.4003655910491943,1,250
clf,False,False,0.95,1.9136567115783691,1,250
reg,False,False,0.95,1.4119987487792969,2,250
clf,False,False,0.95,1.932049036026001,2,250
reg,False,False,0.95,1.4079580307006836,3,250
clf,False,False,0.95,1.9275739192962646,3,250
reg,False,False,0.95,1.4104983806610107,4,250
clf,False,False,0.95,1.919928789138794,4,250
reg,False,False,0.95,1.4173145294189453,5,250
clf,False,False,0.95,1.9290168285369873,5,250
reg,True,True,0.01,0.8067271709442139,1,300
clf,True,True,0.01,1.1136484146118164,1,300
reg,True,True,0.01,0.7992024421691895,2,300
clf,True,True,0.01,1.1918656826019287,2,300
reg,True,True,0.01,0.7933502197265625,3,300
clf,True,True,0.01,1.0863840579986572,3,300
reg,True,True,0.01,0.8832707405090332,4,300
clf,True,True,0.01,1.0943410396575928,4,300
reg,True,True,0.01,0.8098211288452148,5,300
clf,True,True,0.01,1.0910422801971436,5,300
reg,True,True,0.05,0.8999083042144775,1,300
clf,True,True,0.05,1.1070127487182617,1,300
reg,True,True,0.05,0.8966026306152344,2,300
clf,True,True,0.05,1.1314706802368164,2,300
reg,True,True,0.05,1.0127747058868408,3,300
clf,True,True,0.05,1.122676134109497,3,300
reg,True,True,0.05,1.0057015419006348,4,300
clf,True,True,0.05,1.1157684326171875,4,300
reg,True,True,0.05,1.0080792903900146,5,300
clf,True,True,0.05,1.2186009883880615,5,300
reg,True,True,0.95,0.806704044342041,1,300
clf,True,True,0.95,0.8284215927124023,1,300
reg,True,True,0.95,0.8185834884643555,2,300
clf,True,True,0.95,0.8325908184051514,2,300
reg,True,True,0.95,0.8156208992004395,3,300
clf,True,True,0.95,0.8319530487060547,3,300
reg,True,True,0.95,0.8220298290252686,4,300
clf,True,True,0.95,0.8393967151641846,4,300
reg,True,True,0.95,0.8149006366729736,5,300
clf,True,True,0.95,0.8241474628448486,5,300
reg,True,False,0.01,0.8254563808441162,1,300
clf,True,False,0.01,1.1202161312103271,1,300
reg,True,False,0.01,0.8034684658050537,2,300
clf,True,False,0.01,1.0999963283538818,2,300
reg,True,False,0.01,0.8872084617614746,3,300
clf,True,False,0.01,1.0887649059295654,3,300
reg,True,False,0.01,0.8920519351959229,4,300
clf,True,False,0.01,1.0965983867645264,4,300
reg,True,False,0.01,0.9004716873168945,5,300
clf,True,False,0.01,1.2056388854980469,5,300
reg,True,False,0.05,0.9916670322418213,1,300
clf,True,False,0.05,1.0970079898834229,1,300
reg,True,False,0.05,0.9953529834747314,2,300
clf,True,False,0.05,1.1240172386169434,2,300
reg,True,False,0.05,0.8980913162231445,3,300
clf,True,False,0.05,1.1079468727111816,3,300
reg,True,False,0.05,0.9060473442077637,4,300
clf,True,False,0.05,1.1179347038269043,4,300
reg,True,False,0.05,0.898430347442627,5,300
clf,True,False,0.05,1.1121714115142822,5,300
reg,True,False,0.95,0.8052499294281006,1,300
clf,True,False,0.95,0.8267576694488525,1,300
reg,True,False,0.95,0.8138806819915771,2,300
clf,True,False,0.95,0.8317437171936035,2,300
reg,True,False,0.95,0.8111007213592529,3,300
clf,True,False,0.95,0.8153162002563477,3,300
reg,True,False,0.95,0.8230805397033691,4,300
clf,True,False,0.95,0.8292758464813232,4,300
reg,True,False,0.95,0.8148894309997559,5,300
clf,True,False,0.95,0.8372006416320801,5,300
reg,False,True,0.01,1.217857837677002,1,300
clf,False,True,0.01,1.722365140914917,1,300
reg,False,True,0.01,1.2019171714782715,2,300
clf,False,True,0.01,1.701418161392212,2,300
reg,False,True,0.01,1.087632656097412,3,300
clf,False,True,0.01,1.6956651210784912,3,300
reg,False,True,0.01,1.085453748703003,4,300
clf,False,True,0.01,1.6988396644592285,4,300
reg,False,True,0.01,1.0912666320800781,5,300
clf,False,True,0.01,1.5988023281097412,5,300
reg,False,True,0.05,1.3839263916015625,1,300
clf,False,True,0.05,2.006715774536133,1,300
reg,False,True,0.05,1.3989102840423584,2,300
clf,False,True,0.05,2.0074005126953125,2,300
reg,False,True,0.05,1.3991668224334717,3,300
clf,False,True,0.05,2.018256187438965,3,300
reg,False,True,0.05,1.4121451377868652,4,300
clf,False,True,0.05,2.114689588546753,4,300
reg,False,True,0.05,1.403580665588379,5,300
clf,False,True,0.05,2.021385908126831,5,300
reg,False,True,0.95,1.5084037780761719,1,300
clf,False,True,0.95,2.1217458248138428,1,300
reg,False,True,0.95,1.5978658199310303,2,300
clf,False,True,0.95,2.1217329502105713,2,300
reg,False,True,0.95,1.510594129562378,3,300
clf,False,True,0.95,2.1207056045532227,3,300
